Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating,Is Special,Activity Price,Activity Group,Activity Group (Arabic),Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-07032,Non-Freezone,1071001,Bread and Rolls Manufacturing,صناعة الخبز,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Baking industry,صناعة الخبز,,,,,,"RAK Municipality- Public Health Department, ENVIRONMENT_PROTECTION_&_DEVELOPMENT_AUTHORITY, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01725,Freezone,1541-01,Bread Manufacturing,صناعة الخبز,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Bread manufacturing,صناعه الخبز,Baking industry,صناعة الخبز,"Includes preparing wide variety of types, shapes and sizes of bread by baking a dough of flour and water, it involves the brands with natural additives such as fruits and nuts and fats to improve flavor and color.",يشمل تجهيز مختلف أنواع وأشكال الخبز سواء كانت النوع المجهزة من طحين القمح فقط أو الأنواع المضاف لها الفواكه والمكسرات والدهون التي تعمل على تحسين النكهة واللون.,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-05260,Non-Freezone,1071001,Bread Manufacturing,صناعة الخبز,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"RAK Municipality- Public Health Department, Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04558,Non-Freezone,2930106,Break Pads Manufacturing,صناعة وسائد المكابح,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06538,Non-Freezone,149009,Breeding of Live butter flies,تربية الفراشات الحية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial1,,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, Ministry of Climate Change and Environment"
AM-02648,Non-Freezone,100515024,Bricks Making Equipment Trading,تجارة معدات وآلات صنع الطوب,Inactive,,Commercial,تجارية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03790,Freezone,515924,Bricks Making Equipment Trading,تجارة معدات وآلات صنع الطوب,Active,,Commercial,تجارية,-,Low,,Standard,,Mechanical & engineering equipment trading,تجارة المعدات الميكانيكية والهندسية,,,"Includes reselling bricks manufacturing equipment and machinery , including sand bricks, red bricks and gypsum bricks, whether they are fixed or portable equipment.",هي إعادة بيع المعدات والآلات التي تستخدم لصنع طوب البناء بأنواعه كالطوب الرملي والطوب الأحمر والجبس وغيره، سواء أكانت تلك المعدات من النوع القابل للنقل من موقع إلى آخر أو من النوع الثابت في موقع العمل.,,
AM-02973,Non-Freezone,100269502,Bricks Manufacturing,صناعة الطوب الرملي,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 1,صناعيـــــــة 1,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04605,Non-Freezone,2391002,Bricks Manufacturing,صناعة الطوب الرملي ( الحرارى ),Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03923,Freezone,269502,Bricks Manufacturing,صناعة الطوب الرملي,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Block and building stones industry,صناعة الطوب واحجار البناء,,,Includes the manufacture of molded or unmolded bricks made of cement mixed with sand or sandstone.,يشمل صناعة الطوب الرملي (الطابوق) المفرغ أو غير المفرغ من الاسمنت المخلوط بالرمل العادي أو الرمل الحجري.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03903,Freezone,514302,Bricks Trading,تجارة الطوب,Active,,Commercial,تجارية,-,Low,,Standard,,Building materials trading,تجارة مواد البناء,,,"Includes reselling of bricks used in building and construction bricks made of lime, bricks, glass or any other material.",هي إعادة بيع الطوب المستخدم في البناء بجميع أنواعه سواء أكان من الإسمنت كالطوب الرملي والخرساني أو الجير (الطوب الغضاري) أو من الجبس والطوب الزجاجي أو غير ذلك من أنواع الطوب المستخدم في البناء.,,
AM-02514,Non-Freezone,100514302,Bricks Trading,تجارة الطوب,Inactive,,Commercial,تجارية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01662,Non-Freezone,4329913,Bridges and Tunnels Maintenance,صيانة الجسور و الأنفاق,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-06321,Non-Freezone,4210002,Bridges Contracting,مقاولات تشييد الجسور والتقاطعات,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 3,تجاريــــــــة 3,,,,,,
AM-04489,Non-Freezone,7110704,Bridges Engineering Consultancy,استشارات هندسية في الجسور,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-08192,Non-Freezone,7110704,Bridges Engineering Consultancy,استشارات هندسية في الجسور,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Consulting - Engineering and Architecture,الإستشارات - الهندسة والعمارة,Other engineering services,خدمات هندسية أخرى,,,Certified_Academic_Degree,
AM-02904,Freezone,100045,Broadcasting Consultants,استشارات البث,Inactive,,Media,اعلام,-,Low,,Standard,,Broadcast Service Providers,مزودي خدمات البث,,,Broadcasting Consultants,استشارات البث,,Media Brief Form
AM-06781,Freezone,100045,Broadcasting Consultants,استشارات البث,Active,,Media,اعلام,-,Low,,Standard,,Broadcast Support Services,خدمات دعم البث,,,Broadcasting Consultants,استشارات البث,,Media Brief Form
AM-07085,Non-Freezone,1312001,Broad Woven Fabrics Manufacturing,صناعة أقمشة عريضة منسوجة,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Medium,,Standard,,Mattresses and mattresses industry,صناعة المراتب والفرش,Mattresses and mattresses industry,صناعة المراتب والفرش,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06539,Non-Freezone,6612012,Brokerage in securities,الوساطة في الأوراق المالية,Inactive,,Professional,مهنية,-,,,Standard,,Professional1,,,,,,,Emirates Securities & Commodities Authority
AM-04677,Non-Freezone,6612004,"Brokers of Buying & Selling Commodities, Options & Future Contracts",الوساطة شراء وبيع السلع وعقود الخيارات والعقود المستقبلية المدرجة في السوق,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,Emirates Securities & Commodities Authority
AM-08424,Non-Freezone,3290005,"Brooms, Paint Brushes, Squeegees and Feather Dusters of All Kinds Manufacturing",صناعة المكانس وفرش الأصباغ ومماسح ومنافض الغبار بكافة انواعها,Active,,Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Plastic household items industry,صناعة الأدوات المنزلية البلاستيكية,Plastic household items industry,صناعة الأدوات المنزلية البلاستيكية,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03925,Freezone,369905,Brooms & Cleaning Articles Manufacturing,صناعة المكانس وادوات التنظيف,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Metal home appliances manufacturing,صناعه الادوات المنزليه المعدنيه,,,"Includes manufacturing tools and requisites for cleaning floors, houses, buildings, furniture and household appliances, these are all kinds of brooms, shovels, ground and window sweepers, floor , clothes or utensils brushes, garbage cans and all other cleaning requisites.",يشمل صناعة الأدوات والعدد واللوازم المستخدمة في تنظيف الأرضيات والمنازل والأبنية والأثاث والمعدات المنزلية بشكل عام ويشمل ذلك المكانس بأنواعها والمقشات والجواريف ومساحات الأرضيات والزجاج والفراشي المستخدمة لتنظيف الأرضيات أو الملابس أو الأواني وصناديق جمع القمامة وما الى ذلك من الأدوات والمستلزمات المستخدمة في التنظيف.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04922,Non-Freezone,3290005,Brooms and Cleaning Articles Manufacturing,صناعة المكانس وأدوات التنظيف اليدوية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03481,Non-Freezone,100369905,Brooms Articles Manufacturing,صناعة المكانس وأدوات التنظيف,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03663,Freezone,809047,Building & Civil Engineering Training,التدريب على البناء والهندسة المدنية,Active,,Educational,تعليمية  ,-,Low,,Standard,"10,000",Training Institute,معهد تدريب,,,"Includes providing training on the science, technology and techniques of assembling, erecting and maintaining, commercial, industrial and residential structures and their fittings, bridge and road constructions, carpentry and joinery, flooring and wall tiling, plumbing and pipefitting, also, civil engineering and the planning, designing, testing and directing the construction of buildings and structures, engineering of transport, water supply and sewage systems, dock and harbor engineering.",يشمل التدريب على العلوم والتقنيات المتعلقة بعمليات تركيب وتشييد وصيانة الأبنية السكنية و الصناعية و التجارية وتجهيزاتها بما في ذلك تشييد المباني والجسور والطرق، نجارة الأبنية، أعمال الأرضيات والجدران، أعمال السباكة، كما يشمل أعمال الهندسة المدنية التي تتضمن التخطيط والتصميم والاختبار للأبنية والإنشاءات، نظم النقل وإمدادات المياه والصرف الصحي، هندسة الموانئ وغيرها.,Certified_Academic_Degree,"RAK Municipality, Academic Zone"
AM-03542,Freezone,514300,Building & Construction Materials Trading,تجارة مواد البناء,Active,,Commercial,تجارية,-,Low,,Standard,,Building materials trading,تجارة مواد البناء,,,Includes reselling building and construction materials and requisites as detailed in the subsequent activities.,هي إعادة بيع المواد والمستلزمات والأدوات التي تستخدم في أغراض البناء والتشييد مما هو مذكور بالتفصيل في البنود اللاحقة من هذا الفصل.,,
AM-02653,Non-Freezone,100515033,Building Cleaning Equipment Trading,تجارة معدات تنظيف المباني,Inactive,,Commercial,تجارية,-,Low,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-03545,Freezone,515933,Building Cleaning Equipment Trading,تجارة معدات تنظيف المباني,Active,,Commercial,تجارية,-,Low,,Standard,,Mechanical & engineering equipment trading,تجارة المعدات الميكانيكية والهندسية,,,Includes reselling the equipment that facilitate and expedite the cleaning process of buildings interior and exterior.,يشمل إعادة بيع المعدات التي تستخدم في تنظيف المباني داخليا وخارجيا.,,
AM-04078,Non-Freezone,100749301,Building Cleaning Services,خدمات تنظيف المباني والمساكن,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-02159,Non-Freezone,100004540,Building Completion,مقاولات أعمال الإنهاء,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-08844,Non-Freezone,4100002-1,Building Constructions - First Category,مقاولات البناء - فئة أولى,Inactive,,Commercial,تجاريــــــــة,-,,,Standard,,Building contracting - not specified,مقاولات البناء - غير محددة,,,,,,
AM-08843,Non-Freezone,4100002-1,Building Constructions - First Category,مقاولات البناء - فئة أولى,Inactive,,Commercial,تجاريــــــــة,-,,,Standard,,BUILDING MATERIALS INDUSTRY,صناعة مواد البناء,,,,,,
AM-01572,Non-Freezone,100452001,Building Contracting,مقاولات البناء,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-01583,Non-Freezone,100452002,Building Contracting ....... (2),"مقاولات البناء ....... ""درجة ثانية _ ب_""",Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-08735,Non-Freezone,4100002-4,Building Contracting - G4,مقاولات البناء - فئة رابعة,Inactive,,Commercial,تجاريــــــــة,-,,,Standard,,Construction of Buildings,تشييد المباني,,,,,,
AM-08404,Freezone,4311001,Building Demolition and other Constructions and Debris Clearing,هدم المباني وغيرها من الإنشاءات ورفع الانقاض,Active,,Services,خدمية,-,Low,,Standard,,Demolition and site preparation,أعمال الهدم وتحضير المواقع,Building Contracting (Fourth degree),مقاولات البناء فئة رابعة),"Includes firms engaged in the tearing-down of buildings and other structures on the verge of collapse or for replacement using different techniques, such as cranes for high rise buildings, excavators and manual for medium buildings as well as building implosion using explosives.",يشمل المنشآت التي تقوم بهدم إنشاءات الأبنية بكافة أنواعها وإستخداماتها بما في ذلك المباني المتهالكة والمتصدعة أو المباني التي يراد إعادة بنائها، ويشمل إستخدام مختلف طرق الهدم بما في ذلك الرافعات «الكرينات» للمباني المرتفعة، الحفارات والهدم اليدوي للمباني المنخفضة ومتوسطة الإرتفاع وكذلك تقويض المباني بأستخدام المتفجرات.,,
AM-02026,Non-Freezone,4311001,Building Demolition and other Constructions and Debris Clearing,هدم المباني وغيرها من الإنشاءات ورفع الانقاض,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-08610,Non-Freezone,4311001,Building Demolition and other Constructions and Debris Clearing,هدم المباني وغيرها من الإنشاءات ورفع الانقاض,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Building contracting (third degree),مقاولات البناء فئة ثالثة,,,,,,
AM-03604,Freezone,514208,Building Hardware & Tools Trading,تجارة عدد وادوات البناء,Active,,Commercial,تجارية,-,Low,,Standard,,Building materials trading,تجارة مواد البناء,,,"Includes reselling of construction and building shovels, mattocks, coaters,whether all or partially made of wood or plastic.",هي إعادة بيع الأدوات والمعدات الصغيرة التي تستخدم في عمليات البناء المختلفة كالمجاريف والمعاول وأدوات التكسية وتدخل من ضمنها تلك التي تكون أجزاء منها أو بكاملها مصنوعة من مواد أخرى كالخشب أو البلاستيك.,,
AM-03489,Non-Freezone,100454007,Building Maintenance,صيانة المباني,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-03606,Freezone,514332,Building Maquettes & Models Requisites Trading,تجارة مستلزمات تنفيذ مجسمات الأبنية و النماذج الهندسية,Active,,Commercial,تجارية,-,Low,,Standard,,Building materials trading,تجارة مواد البناء,,,"Includes reselling small physical models of buildings or engineering projects or vehicles and equipment, used to visualize how the finished work will look like after constructing or manufacturing.",يشمل إعادة بيع النماذج المجسمة المصغرة للأبنية والمشروعات الإنشائية، أو النماذج والأشكال والتصاميم الهندسية بأنواعها كتصاميم الأدوات والأواني والمركبات والأجهزة وغيرها والتي تجسد أشكالا تصويرية لما سيبدو عليه الشكل بعد إتمام بنائه أو تصنيعه.,,
AM-04472,Non-Freezone,7110304,Building Material Manufacturing Consultancy,أستشارات هندسية فى صناعات مواد البناء,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,Certified_Academic_Degree,
AM-02512,Non-Freezone,100514300,Building Materials Trading,تجارة مواد البناء,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 4,تجاريــــــــة 4,,,,,,
AM-03309,Non-Freezone,7120007,Building Material Testing Lab,مختبر فحص مواد البناء,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,Ministry of Industry and Advanced Technology
AM-04131,Freezone,742124,Building Mechanical Engineering Consultancy,الهندسة الميكانيكية للمباني,Active,,Services,خدمية,-,Low,,Standard,,Other engineering services,خدمات هندسية اخرى,,,"Includes providing services and consultancies related to buildings mechanical engineering services, including preparing preliminary and final engineering studies to the mechanical various systems involving air-conditioning, refrigeration, ventilation and heating cold and hot water supply, sewage, fire fighting, gas, pumps, steam, swimming pools…etc.",يشمل المنشآت التي تقدم الإستشارات والخدمات الهندسية للأنظمة الميكانيكية المستخدمة في المباني، ويشمل ذلك إعداد الدراسات الهندسية الأولية والنهائية للأعمال الميكانيكية لمشروعات الأبنية بما في ذلك مختلف الأنظمة ذات العلاقة مثل تكييف الهواء والتبريد، التهوية والتدفئة وتزويد المياه الباردة والساخنة، الصرف الصحي، الحماية من الحريق، أنظمة، الغاز، المضخات، البخار، المسابح وغيرها من الأنظمة الميكانيكية في المباني.,Certified_Academic_Degree,
AM-04132,Freezone,281103,Building Metal Products Manufacturing,صناعة الاشغال المعدنية للمباني,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Structural steel manufacturing,صناعه الانشاءات المعدنيه,,,"Includes manufacturing all types of buildings and commercial stores metallic requisites, such as doors, windows, display windows, gardens and balconies metallic staircases fences, decor and interior design requisites, curtains, gates, overhead tanks, window grids bars, manhole covers, cables and wires containers, handrails, made of iron, aluminum, copper or other metals by die-casting or cutting panels and parts to form and shape the required designs.",يشمل صناعة جميع أنواع الأشغال المعدنية للأبنية والمحال التجارية كصناعة الأبواب والنوافذ المعدنية وواجهات العرض والحواجز والأسوار المعدنية للسلالم والحدائق والشرفات، وكذلك صناعة الديكورات ولوازم التصميمات الداخلية المعدنية، الستائر المعدنية والبوابات وخزانات المياه العلوية وشباك حماية النوافذ وأغطية مجمعات تصريف المجاري ومجمعات الأسلاك والكوابل وحواف درجات السلالم وغيرها من الأشغال المماثلة سواء أكانت مصنوعة من الحديد أو الألمنيوم أو النحاس أو غيرها من المعادن التي يتم صنعها بأسلوب الصب أو تقطيع الألواح والمقاطع.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03234,Non-Freezone,2511004,Building Metal Products Manufacturing,صناعة الأشغال المعدنية للمباني,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03611,Freezone,514305,Building Metal Products Trading,تجارة الاشغال المعدنية للابنية,Active,,Commercial,تجارية,-,Low,,Standard,,Building materials trading,تجارة مواد البناء,,,"Includes reselling aluminum, steel or copper doors, windows, balconies, staircases, fences, window grids and garden fences, cladding panels, decorators, manhole covers and any other metal product.",هي إعادة بيع الأبواب والنوافذ المعدنية المصنوعة من الألمنيوم أو الحديد أو النحاس، كما يشمل غير ذلك من الأشغال المعدنية التي تستخدم في المباني كالسلالم والحواجز المستخدمة في الشرفات والحدائق والطرق، كما يشمل ذلك الألواح والمواد المعدنية المستخدمة في تكسية الأبنية، وكذلك مواد الديكورات المصنوعة من المعادن وأغطية مجمعات تصريف المجاري ومجمعات الاسلاك والكوابل وحواف درجات السلالم.,,
AM-08425,Non-Freezone,3011101,Building of Commercial Vessels,بناء السفن التجارية,Active,,Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Ship services,خدمات السفن,Shipbuilding and repair,صناعة وإصلاح السفن,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03338,Non-Freezone,3012003,Building of Fiber Glass Boats,صناعة القوارب من الألياف الزجاجية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03326,Non-Freezone,3011102,Building of Fiber Glass Ships,صناعة السفن من الألياف الزجاجية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08426,Non-Freezone,3011104,Building of Fishing Boats and Fish-Processing Factory Vessels,بناء قوارب الصيد والسفن التي تعمل كمصانع لتجهيز الأسماك,Active,,Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Ship services,خدمات السفن,Shipbuilding and repair,صناعة وإصلاح السفن,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03336,Non-Freezone,3012001,Building of Metal Boats,صناعة القوارب المعدنية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03337,Non-Freezone,3012002,Building of Wooden Boats,صناعة القوارب الخشبية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08734,Freezone,100252015,Building Plastic Products Manufacturing,صناعة المستلزمات البلاستيكية للأبنية,Active,,Industrial,صناعية,-,Medium,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-02003,Non-Freezone,100252014,Building Plastic Products Manufacturing,صناعة المستلزمات البلاستيكية للأبنية,Inactive,,Industrial,صناعية,-,Medium,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-04077,Non-Freezone,100007493,Buildings Cleaning Activities,أنشطة تنظيف الأبنية,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-01303,Non-Freezone,8129001,Buildings Cleaning Services,خدمات التنظيف الخارجي ( واجهات ) المباني,Inactive,,Professional,مهنية,-,,,Standard,,Professional 1,مهنيــــــــــة 1,,,,,,
AM-04359,Freezone,742171,Buildings Electrical Engineering Consultancy,هندسة كهرباء المباني,Active,,Services,خدمية,-,Low,,Standard,,Other engineering services,خدمات هندسية اخرى,,,"Includes firms engaged in providing consultancies and services related to buildings’ electrical and electronic engineering, including preparing preliminary and final electrical and electronic works for construction projects as well as interior design and landscaping.",يشمل المنشآت التي تقوم بتقديم الإستشارات والخدمات الهندسية الكهربائية والإلكترونية للأبنية، ويشمل ذلك إعداد الدراسات الهندسية الأولية والنهائية لأعمال الكهرباء والإلكترونيات لمشروعات الأبنية وأعمال التصميم الداخلي وتنسيق المواقع لها.,Certified_Academic_Degree,
AM-04360,Freezone,742179,Buildings Energy Efficiency Consultancy,كفاءة الطاقة في المباني,Active,,Services,خدمية,-,Low,,Standard,,"Consultancy -D- management, information and marketing",الاستشارات - الادارة والمعلومات,,,"Includes providing consultancies and designs aiming at reducing energy use in buildings through optimal utilization of the resources and developing solutions to minimize electricity and water consumption, the services target the cooling and ventilation systems, lighting, lifts and pumps, water systems.",يشمل تقديم الإستشارات وإعداد التصاميم الهادفة لتعزيز كفاءة إستخدام وترشيد إستهلاك الطاقة في المباني من خلال الإستغلال الأمثل للموارد وإيجاد الحلول المناسبة للتقليل من هدر الطاقة الكهربائية والمياه والموارد الأخرى، والأنظمة المستهدفة بهذه الخدمات تشمل أنظمة التكييف والتهوية والتبريد، أنظمة ألإضاءة، أنظمة المحركات من مصاعد ومضخات مياه، أنظمة المياه.,,RAK Municipality Registration
AM-06540,Non-Freezone,7110208,Buildings Energy Efficiency Consultancy,إستشارات هندسية في كفاءة الطاقة للمباني,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional1,,,,,,Certified_Academic_Degree,RAK Municipality Registration
AM-02028,Non-Freezone,4312001,Building Sites Cleaning (Building Debris),تنظيف مواقع البناء,Inactive,,Professional,مهنية,-,Low,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-08611,Non-Freezone,4312001,Building Sites Cleaning (Building Debris),تنظيف مواقع البناء,Active,,Professional,مهنيــــــــــة,-,Low,,Standard,,Building contracting - not specified,مقاولات البناء - غير محددة,Building contracting - not specified,مقاولات البناء - غير محددة,,,,
AM-01635,Non-Freezone,4329901,Buildings Maintenance,صيانة المباني,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-04134,Freezone,281113,Building Stainless Steel Products Manufacturing,صناعة الاشغال الفولاذية للابنية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Structural steel manufacturing,صناعه الانشاءات المعدنيه,,,"Includes manufacturing all types of buildings and commercial facilities products made of stainless steel, such as doors, windows, display windows, gardens and balconies staircases, fences, decor and interior design requisites.",يشمل صناعة جميع أنواع الأشغال المصنوعة من الفولاذ للأبنية والمحال التجارية كصناعة الأبواب والنوافذ وواجهات العرض والحواجز والأسوار للسلالم والحدائق والشرفات، وكذلك صناعة الديكورات ولوازم التصميمات الداخلية.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07695,Non-Freezone,2824009,Bulldozer and Angle-Dozer Blades Manufacturing,صناعة شفرات الجرَّافات بأنواعها,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,Agricultural equipment industry,صناعة المعدات الزراعية,Agricultural equipment industry,صناعة المعدات الزراعية,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06284,Non-Freezone,2824009,Bulldozer Blades Manufacturing,صناعة نصال (شفرات) البلدوزرات,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-06282,Non-Freezone,2824007,Bulldozers Manufacturing,صناعة الجرافات (البلدوزرات) والجرافات الجانبية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03330,Non-Freezone,3011902,Buoys Manufacturing,صناعة العوامات البحرية,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-07648,Non-Freezone,2815002,Burners Manufacturing,صناعة المواقد,Active,"150,000",Industrial,صنــــــــاعيـــة,-,Low,,Standard,,"Manufacture of ovens, stoves and torches",صناعة الأفران والمواقد والمشاعل,"Manufacture of ovens, stoves and torches",صناعة الأفران والمواقد والمشاعل,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03829,Non-Freezone,2910002,Bus Assembling,تجميع حافلات الركاب,Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-09025,Freezone,RAKEZ9000935,Bus Assembling,تجميع حافلات الركاب,Inactive,"150,000",Industrial,صناعية,-,,,Standard,,"Manufacturing cars, spare parts, vehicles and bicycles",صناعة السيارات وقطع غيارها والمركبات والدراجات,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01693,Non-Freezone,4520026,"Buses, Trucks and Trailers Electricity Repair",اصلاح كهرباء الحافلات والشاحنات و القاطرات,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-01691,Non-Freezone,4520024,"Buses, Trucks and Trailers Mechanics Repair",إصلاح ميكانيكا الحافلات و الشاحنات و المركبات المقطورة,Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
